tier	approved_symbol	ensembl_gene_id	entrez_id	gene_symbol	driver_confidence	mechanism	disorder_name	phenotype_mim	gene_mim	cytoband	inheritance	scope	evidence_quote	source_mim
confirmed	ABL1	ENSG00000097007	25	ABL1	definitive	overexpression	LEUKEMIA, CHRONIC MYELOID; CML	608232	189980	9q34.1		single_gene	This indicated that the translocation is reciprocal and suggested a role for the ABL gene in the generation of CML.	608232
confirmed	APP	ENSG00000142192	351	APP	definitive	overexpression	ALZHEIMER DISEASE, FAMILIAL, 1; AD1	104300	104760	21q21		single_gene	In the 5 index cases with the combination of early-onset Alzheimer disease and CAA, they found evidence for a duplication of the APP locus ({104760.	104300
confirmed	ARHGAP36	ENSG00000147256	158763	ARHGAP36	text	overexpression	BAZEX-DUPRE-CHRISTOL SYNDROME; BDCS	301845	300937	Xq26.1		region_driver	A number sign (#) is used with this entry because of evidence that Bazex-Dupre-Christol syndrome (BDCS) is caused by small duplications in an intergenic region on chromosome Xq26 harboring noncoding enhancer elements that drive overexpression of the ARHGAP36 gene ({300937}).	301845
confirmed	ATG2B	ENSG00000066739	55102	ATG2B	text	overexpression	CHROMOSOME 14q32 DUPLICATION SYNDROME, 700-KB	616604	616226	14q32.2		region_driver	Overall, the report suggested that overexpression of ATG2B and GSKIP resulting from the 700-kb duplication causes increased fitness of cells with somatic mutations involved in hematopoietic signaling pathways, resulting in increased probability of developing myeloid malignancies.	616604
confirmed	AXIN1	ENSG00000103126	8312	AXIN1	definitive	overexpression	CAUDAL DUPLICATION ANOMALY	607864	603816	16p13.3		single_gene	Suppression of wildtype Axin in Xenopus embryos results in the duplication of the body axis.	607864
confirmed	BHLHA9	ENSG00000205899	727857	BHLHA9	g2p:definitive	overexpression	BHLHA9-related split hand and foot malformation		615416	17p13.3		g2p	G2P 'increased gene product level' (definitive; panels: Skeletal|dd); disease: BHLHA9-related split hand and foot malformation; PMIDs: 22147889; 23790188	G2P:Skeletal|dd
confirmed	CREBBP	ENSG00000005339	1387	CREBBP	text	overexpression	CHROMOSOME 16p13.3 DUPLICATION SYNDROME	613458	600140	16p13.3		region_driver	The findings indicated that CREBBP is dosage sensitive.	613458
confirmed	CRKL	ENSG00000099942	1399	CRKL	g2p:limited	overexpression	CRKL-related bladder exstrophy plus		602007	22q11		g2p	G2P 'increased gene product level' (limited; panels: dd); disease: CRKL-related bladder exstrophy plus; PMIDs: 24764164; 30628148; 34355505	G2P:dd
confirmed	DSP	ENSG00000096696	1832	DSP	g2p:definitive	overexpression	DSP-related dilated cardiomyopathy		125647	6p24		g2p	G2P 'increased gene product level' (definitive; panels: Cardiac); disease: DSP-related dilated cardiomyopathy; PMIDs: 20716751; 23022708; 24503780; 27532257; 	G2P:Cardiac
confirmed	FBXW4	ENSG00000107829	6468	FBXW4	g2p:limited	overexpression	FBXW4-related split-hand and foot malformation	246560	608071	10q24		g2p	G2P 'increased gene product level' (limited; panels: Skeletal|dd); disease: FBXW4-related split-hand and foot malformation; PMIDs: 12913067; 12974740; 16691619; 16761290; 	G2P:Skeletal|dd
confirmed	FLNA	ENSG00000196924	2316	FLNA	g2p:definitive	overexpression	FLNA-related congenital idiopathic intestinal pseudoobstruction	300048	300017	Xq28		g2p	G2P 'increased gene product level' (definitive; panels: dd); disease: FLNA-related congenital idiopathic intestinal pseudoobstruction; PMIDs: 18854860; 23037936; 8644737	G2P:dd
confirmed	GDF6	ENSG00000156466	392255	GDF6	text	overexpression	CHROMOSOME 8q22.1 DUPLICATION SYNDROME	151200	601147	8q22.1		region_driver	95-Mb region contained 6 genes, but studies of cultured dermal fibroblasts from 2 affected individuals from the first family, aged 77 and 20 years, showed significant overexpression only of the GDF6 gene ({601147}) (40.	151200
confirmed	GPR101	ENSG00000165370	83550	GPR101	text	overexpression	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	300942	300393	Xq26.3		region_driver	The authors concluded that GPR101 is the causative gene in the Xq26.	300942
confirmed	HUWE1	ENSG00000086758	10075	HUWE1	text	overexpression	CHROMOSOME Xp11.22 DUPLICATION SYNDROME	300705	300697	Xp11.2		region_driver	Increased dosage of HUWE1 is believed to be responsible for the phenotype ({2:Froyen et al.	300705
confirmed	HYDIN2		100288805	HYDIN2	text	overexpression	CHROMOSOME 1q21.1 DUPLICATION SYNDROME	612475	610813	1q21.1		region_driver	(2008)} suggested that the HYDIN paralog located on chromosome 1q21 (HYDIN2; {610813}) is a dosage-sensitive gene responsible for the macrocephaly seen in 17 microduplication carriers studied by them.	612475
confirmed	IHH	ENSG00000163501	3549	IHH	text	overexpression	CHROMOSOME 2q35 DUPLICATION SYNDROME	185900	600726	2q33-q35		region_driver	(2011)} postulated that the observed duplications lead to misexpression and/or overexpression of IHH, thereby affecting the complex regulatory signaling network during digit and skull development.	185900
confirmed	IRX1	ENSG00000170549	79192	IRX1	text	overexpression	MACULAR DYSTROPHY, RETINAL, 3; MCDR3	608850	606197	5p15.33		region_driver	A number sign (#) is used with this entry because retinal macular dystrophy-3 (MCDR3) is caused by a heterozygous tandem duplication of a region containing a cis-regulatory element-10 (cCRE10) downstream of IRX1 ({606197}) (IRX1_cCRE10) on chromosome 5 (chr5:4,424,583-4,425,559).	608850
confirmed	IRX6	ENSG00000159387	79190	IRX6	text	overexpression	CHROMOSOME 16q12 DUPLICATION SYNDROME	619649	606196	16q11.2-q13		region_driver	The authors screened for CNVs at this locus in a cohort of 25 families with autosomal dominant cone and cone-rod dystrophy using a customized qPCR assay for IRX6, and identified 2 more large multigenerational families, 1 of Chinese descent (ZD178) and 1 of Dutch descent (RCD460), with copy number gains.	619649
confirmed	KCNE1	ENSG00000180509	3753	KCNE1	text	overexpression	DOWN SYNDROME	190685	176261	21q22.1-q22.2		region_driver	46-Mb duplication of chromosome 21q22, including the KCNE1 ({176261}) and RCAN1 genes, who did not have typical facial or cardiac features of Down syndrome.	190685
confirmed	KCTD13	ENSG00000174943	253980	KCTD13	text	overexpression	CHROMOSOME 16p11.2 DUPLICATION SYNDROME	614671	608947	16p11.2		region_driver	Overexpression of each human transcript in zebrafish embryos identified KCTD13 ({608947}) as the sole message capable of inducing the microcephaly phenotype associated with the 16p11.	614671
confirmed	LBX1	ENSG00000138136	10660	LBX1	text	overexpression	SPLIT-HAND/FOOT MALFORMATION 3; SHFM3	246560	604255	10q24		region_driver	the smallest duplicated region common to all patients was 444 kb and contained a disrupted extra copy of the dactylin gene from exon 9 to exon 6, as well as the entire LBX1 ({604255}), BTRC ({603482}), and POLL ({606343}) genes.	246560
confirmed	LMBR1	ENSG00000105983	64327	LMBR1	definitive	overexpression	LAURIN-SANDROW SYNDROME; LSS	135750	605522	7q36		single_gene	Laurin-Sandrow syndrome (LSS) is an autosomal dominant disorder characterized by polysyndactyly of hands and feet, mirror image duplication of feet, and nasal defects (hypoplastic alae nasi, short columella), in connection with absent patella and duplicated fibula (summary by {10:Lohan et al.	135750
