gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,754,0.9986737400530504,True,,,False,,,,,,,,,,False,0.9603816174102426,0.0001857545043375,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,754,1.0,True,,,False,,,,,,,,,,False,1.0,,False,False,True,False,False,zero_inflated
ENSG00000310526.1,WASH7P,754,0.0,False,1.0,0.278568089068712,False,0.5034496705288383,0.5501264295176043,0.0799376877273806,0.1142714241874305,1.239674530617326,0.4973630988324244,3.2518716095753133,0.8452970997991542,6.2420801777409896,True,0.9071817297522552,0.1561491722042394,True,True,True,True,True,normal
ENSG00000243485.6,MIR1302-2HG,754,0.9960212201591512,True,,,False,,,,,,,,,,False,0.9824845209542128,0.0022492516171958,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,754,0.9986737400530504,True,,,False,,,,,,,,,,False,0.958896302783141,2.215596025006732e-05,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,754,0.9946949602122016,True,,,False,,,,,,,,,,False,0.9998366862555198,0.0015016562117795,False,True,True,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,754,0.9708222811671088,True,,,False,,,,,,,,,,False,0.9548384492582632,0.0014972034574746,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,754,0.9774535809018567,True,,,False,,,,,,,,,,False,0.9116720169657108,0.0017692105126231,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,754,0.9389920424403184,True,,,False,,,,,,,,,,False,0.9929394664930132,0.0575044398651089,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,754,0.9575596816976129,True,,,False,,,,,,,,,,False,0.9229302710003576,0.1311102330403287,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,754,1.0,True,,,False,,,,,,,,,,False,0.9976816191536312,0.0086375480387355,False,True,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,754,0.9946949602122016,True,,,False,,,,,,,,,,False,0.8330404585374481,0.7720385572752833,True,False,True,False,False,zero_inflated
