gene,genename,n_obs,frac_at_floor,is_zero_inflated,n_modes,shapiro_p,shapiro_bh_reject,dagostino_p,anderson_stat,skew,kurt,mle_mu,mle_sigma,mle_sigma_dist,d_aic,d_aic_threshold,mle_success,r_squared,sigma_span_ratio,sigma_span_ok,x0_in_range,n_obs_ok,support_ok,qc_pass,dist_class
ENSG00000290825.2,DDX11L16,196,0.9948979591836736,True,,,False,,,,,,,,,,False,0.9604643868871868,0.0189698368274858,False,True,True,False,False,zero_inflated
ENSG00000223972.6,DDX11L1,1,0.0,False,0.0,,False,,,,,,,,,6.384126719151844,False,,,False,False,False,True,False,undetermined
ENSG00000310526.1,WASH7P,614,0.0,False,1.0,3.077120772012616e-06,True,3.5549537920405643e-06,2.5901792672069632,0.4943677833715489,0.2831502680699,0.7222030768935719,0.5290046357852614,3.445135199204628,0.3457434734194748,6.384126719151844,True,0.8918766803266163,0.1480375476416367,True,True,True,True,True,right_skewed
ENSG00000243485.6,MIR1302-2HG,160,0.99375,True,,,False,,,,,,,,,,False,0.909346302088422,0.0477099814531965,False,True,True,False,False,zero_inflated
ENSG00000237613.3,FAM138A,196,0.9948979591836736,True,,,False,,,,,,,,,,False,0.951821739185012,0.0218343057590298,False,True,True,False,False,zero_inflated
ENSG00000308361.1,ENSG00000308361,21,0.9047619047619048,True,,,False,,,,,,,,,,False,0.7566735365600401,0.0194243910259439,False,True,False,False,False,zero_inflated
ENSG00000290826.2,ENSG00000290826,201,0.9552238805970148,True,,,False,,,,,,,,,,False,0.9564029223228434,0.0225125735600407,False,True,True,False,False,zero_inflated
ENSG00000268020.3,OR4G4P,242,0.9586776859504132,True,,,False,,,,,,,,,,False,0.9269159666182812,0.0352977313443906,False,True,True,False,False,zero_inflated
ENSG00000186092.7,OR4F5,500,0.974,True,,,False,,,,,,,,,,False,0.997931051747383,0.0744728080559815,True,False,True,False,False,zero_inflated
ENSG00000241860.8,ENSG00000241860,614,0.9250814332247556,True,,,False,,,,,,,,,,False,0.9056820030699282,0.1362302604061225,True,True,True,False,False,zero_inflated
ENSG00000308314.1,ENSG00000308314,38,1.0,True,,,False,,,,,,,,,,False,0.7548882417340361,0.1481891378943591,True,False,True,False,False,zero_inflated
ENSG00000233750.3,CICP27,582,0.6786941580756014,True,,,False,,,,,,,,,,False,0.9554230117654504,0.220544513652434,True,True,True,False,False,zero_inflated
ENSG00000308579.1,ENSG00000308579,614,0.0,False,1.0,0.004688933855716,True,0.0030891480790656,1.0762062884550687,-0.3201018347027514,0.2150228515533534,3.71108756201662,1.11071407209643,2.4731607844874675,7.331574693555922,6.384126719151844,True,0.9073001047491476,0.1511851056578082,True,True,True,True,True,right_truncated
ENSG00000268903.1,ENSG00000268903,606,0.0214521452145214,False,1.0,2.782316687821109e-08,True,3.722588380011727e-06,2.841701031610228,0.520740105665047,-0.0378343083484273,0.668711989121426,0.8577666584174595,3.357451069426202,0.4686269738276678,6.384126719151844,True,0.860300682971625,0.2057684416163287,True,True,True,True,True,right_skewed
ENSG00000269981.1,ENSG00000269981,614,0.0,False,1.0,7.141981640073439e-09,True,1.483801326630398e-09,4.353262610944057,-0.6377419438853057,0.4673914932842598,3.713492423247199,1.1969915595166758,2.264291511535528,12.312546608125103,6.384126719151844,True,0.9398088931895578,0.1309312842580862,True,True,True,True,True,right_truncated
ENSG00000239906.1,ENSG00000239906,140,0.7428571428571429,True,,,False,,,,,,,,,,False,0.8345493885553731,0.054160630773448,True,True,True,False,False,zero_inflated
ENSG00000222623.1,RNU6-1100P,12,0.0,False,1.0,,False,,,,,-0.5320111420834128,0.1055217958203294,1.5600831081796644,0.9654506501079574,6.384126719151844,True,0.4063545150501672,0.0021897984830213,False,True,False,True,False,undetermined
ENSG00000241599.1,ENSG00000241599,30,0.7666666666666667,True,,,False,,,,,,,,,,False,0.2323854307798623,0.1690927482138458,True,True,True,False,False,zero_inflated
ENSG00000308415.1,DDX11L2,462,0.9502164502164502,True,,,False,,,,,,,,,,False,0.9908497183055104,0.0512505992085504,True,False,True,False,False,zero_inflated
ENSG00000310527.1,WASH9P,614,0.0,False,1.0,7.19944417623277e-07,True,2.4320282400741214e-05,3.558784787682498,0.4719391459541315,0.0199043788967525,0.7289228572707489,0.52810341289212,3.532056806432633,0.2504955400953577,6.384126719151844,True,0.8691658795190935,0.1487713170607071,True,True,True,True,True,right_skewed
ENSG00000308625.1,ENSG00000308625,115,0.591304347826087,True,,,False,,,,,,,,,,False,0.8808466680792784,0.0878263101634557,True,True,True,False,False,zero_inflated
ENSG00000308544.1,ENSG00000308544,6,0.0,False,1.0,,False,,,,,-0.5441469861310826,0.1398345007334807,1.8753146877027027,0.2770011881208534,6.384126719151844,True,,,False,False,False,True,False,undetermined
ENSG00000292994.2,ENSG00000292994,612,0.8986928104575164,True,,,False,,,,,,,,,,False,0.9118727476434568,0.1168841245348506,True,True,True,False,False,zero_inflated
ENSG00000286448.2,ENSG00000286448,281,1.0,True,,,False,,,,,,,,,,False,0.860663474286446,0.1430577857814179,True,True,True,False,False,zero_inflated
